THR;SC;NOSC
-7;59,3773;59,7928
-9;23,5214;21,7955
-11;6,071;5,87155
-13;3,1865;2,9852
-15;0,99425;0,81305
-17;0,34775;0,30805
-19;0,1738;0,14255
-21;0,052;0,03535
-23;0,0238;0,0163
-25;0,0127;0,0073
-27;0,00395;0,0019
-29;0,003;0,0007
-31;0,00205;0,0002
-33;0,00205;0,0003
-35;0,002;1,00E-04
-37;0,00185;0
-39;0,00135;0
-41;0,00135;0
-43;0,00145;0
-45;0,00115;0
-47;0,00115;0
-49;0,0015;5,00E-05
-51;0,00095;0
-53;0,00105;0
-55;0,0011;0
-57;0,0009;0
-59;0,0009;0
-61;0,0007;0
-63;0,0008;0
-65;0,00085;0
-67;0,0005;0
-69;0,00055;0
-71;0,00065;0
-73;0,0006;0
-75;0,0009;0
-77;0,0009;0
-79;0,00065;0
